key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
YY_WATER_FEATURES.Elevation	Höhe	Elevation	Elevación	Elevation	Elevation	Elevation	Elevation	Wysokość	Elevação	Elevation	Elevation	Elevation	
YY_WATER_FEATURES.MinElevation	Minimale Höhe	Min Elevation	Elevación mínima	Min Elevation	Min Elevation	Min Elevation	Min Elevation	Minimalna wysokość	Elevação mínima	Min Elevation	Min Elevation	Min Elevation	
YY_WATER_FEATURES.MaxElevation	Maximale Höhe	Max Elevation	Elevación máxima	Max Elevation	Max Elevation	Max Elevation	Max Elevation	Maksymalna wysokość	Elevação máxima	Max Elevation	Max Elevation	Max Elevation	
YY_WATER_FEATURES.SnowAccumulation	Schneeanhäufung	Snow Accumulation	Acumulación de nieve	Snow Accumulation	Snow Accumulation	Snow Accumulation	Snow Accumulation	Nagromadzenie śniegu	Acumulação de Neve	Snow Accumulation	Snow Accumulation	Snow Accumulation	
YY_WATER_FEATURES.OriginalFlow	Originale Wasserflussrate	Original Flow	Flujo Original	Original Flow	Original Flow	Original Flow	Original Flow	Oryginalny potencjał wodny	Fluxo Original	Original Flow	Original Flow	Original Flow	
YY_WATER_FEATURES.MinDepth	Minimale Tiefe	Min Depth	Profundidad mínima	Min Depth	Min Depth	Min Depth	Min Depth	Minimalna głębokość	Profundidade mínima	Min Depth	Min Depth	Min Depth	
YY_WATER_FEATURES.Radius	Radius	Radius	Radio	Radius	Radius	Radius	Radius	Promień	Raio	Radius	Radius	Radius	
YY_WATER_FEATURES.amount-down-arrow	Wasserfluss/Tiefe/Höhe verringern	Reduce Flow/Depth/Elevation	Reducir flujo/profundidad/elevación	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Zmniejsz potencjał wodny/głębokość/wysokość	Reduzir fluxo/profundidade/elevação	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	Reduce Flow/Depth/Elevation	
YY_WATER_FEATURES_DESCRIPTION.amount-down-arrow	Reduziert den Wasserfluss für Bäche. Verringert die Tiefe oder Höhe von Flüssen, Meeren und Seen. Reduziert die maximale Tiefe für Regenrückhaltebecken und Hochwasserrückhaltebecken.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduce el flujo de corrientes. Reduce la profundidad o elevación de ríos, mares y lagos. Reduce la profundidad máxima para la retención y las cuencas de detención.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Zmniejsza potencjał wodny strumieni. Zmniejsza głębokość lub wysokość, rzek, mórz i jezior. Zmniejsza maksymalną głębokość zbiorników retencyjnych i polderów przeciwpowodziowych.	Reduz o fluxo para riachos. Diminuindo a profundidade ou elevação de rios, mares, lagos e a profundidade máxima para bacias de retenção e detenção.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	Reduces the flow for Streams. Decreases the depth or elevation for rivers, seas, and lakes. Reduces the max depth for retention and detention basins.	
YY_WATER_FEATURES.amount-up-arrow	Wasserfluss/Tiefe/Höhe erhöhen	Increase Flow/Depth/Elevation	Incrementar flujo/profundidad/elevación	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Zwiększ potencjał wodny/głębokość/wysokość	Aumentar fluxo/profundidade/elevação	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	Increase Flow/Depth/Elevation	
YY_WATER_FEATURES_DESCRIPTION.amount-up-arrow	Erhöht den Wasserfluss für Bäche. Vergrößert die Tiefe oder Höhe von Flüssen, Meeren und Seen. Erhöht die maximale Tiefe für Regenrückhaltebecken und Hochwasserrückhaltebecken.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Aumenta el flujo de corrientes. Aumenta la profundidad o elevación de ríos, mares y lagos. Aumenta la profundidad máxima para la retención y las cuencas de detención.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Zwiększa potencjał wodny strumieni. Zwiększa głębokość lub wysokość, rzek, mórz i jezior. Zwiększa maksymalną głębokość zbiorników retencyjnych i polderów przeciwpowodziowych.	Aumenta o fluxo para riachos. Aumentando a profundidade ou elevação de rios, mares e lagos e também a profundidade máxima para bacias de retenção e detenção.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	Increases the flow for Streams. Increases the depth or elevation for rivers, seas, and lakes. Increases the max depth for retention and detention basins.	
YY_WATER_FEATURES.radius-down-arrow	Radius reduzieren	Reduce Radius	Reducir radio	Reduce Radius	Reduce Radius	Reduce Radius	Reduce Radius	Zmniejsz promień	Reduzir Raio	Reduce Radius	Reduce Radius	Reduce Radius	
YY_WATER_FEATURES_DESCRIPTION.radius-down-arrow	Reduziert den Radius.	Reduces the radius.	Reduce el radio.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Reduces the radius.	Zmniejsza promień.	Reduz o raio.	Reduces the radius.	Reduces the radius.	Reduces the radius.	
YY_WATER_FEATURES.radius-up-arrow	Radius vergrößern	Increase Radius	Incrementar radio	Increase Radius	Increase Radius	Increase Radius	Increase Radius	Zwiększ promień	Aumentar o Raio	Increase Radius	Increase Radius	Increase Radius	
YY_WATER_FEATURES_DESCRIPTION.radius-up-arrow	Erhöht den Radius.	Increases the radius.	Aumenta el radio.	Increases the radius.	Increases the radius.	Increases the radius.	Increases the radius.	Zwiększa promień.	Aumenta o raio...	Increases the radius.	Increases the radius.	Increases the radius.	
YY_WATER_FEATURES.min-depth-down-arrow	Min. Tiefe verringern	Reduce Min Depth	Reducir profundidad mínima	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	Zmniejsz minimalną głębokość	Reduzir profundidade mínima	Reduce Min Depth	Reduce Min Depth	Reduce Min Depth	
YY_WATER_FEATURES_DESCRIPTION.min-depth-down-arrow	Verringert die minimale Tiefe.	Reduces the minimum depth.	Reduce la profundidad mínima.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	Zmniejsza minimalną głębokość.	Reduz a profundidade mínima.	Reduces the minimum depth.	Reduces the minimum depth.	Reduces the minimum depth.	
YY_WATER_FEATURES.min-depth-up-arrow	Min. Tiefe erhöhen	Increase Min Depth	Aumenta la profundidad mínima	Increase Min Depth	Increase Min Depth	Increase Min Depth	Increase Min Depth	Zwiększ minimalną głębokość	Aumentar profundidade mínima	Increase Min Depth	Increase Min Depth	Increase Min Depth	
YY_WATER_FEATURES_DESCRIPTION.min-depth-up-arrow	Erhöht die minimale Tiefe.	Increases the minimum depth.	Aumenta la profundidad mínima.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	Zwiększa minimalną głębokość.	Aumenta a profundidade mínima.	Increases the minimum depth.	Increases the minimum depth.	Increases the minimum depth.	
YY_WATER_FEATURES.amount-rate-of-change	Fließ/Tiefe/Höhe Rate der Veränderung	Flow/Depth/Elevation Rate of Change	Tasa de cambio de flujo/profundidad/elevación	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Intensywność zmian potencjału wodnego/głębokości/wysokości	Fluxo/Profundidade/Taxa de mudança de elevação	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	Flow/Depth/Elevation Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.amount-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für Durchflussrate, Tiefe und Höhe arbeiten.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Cambia la velocidad en la que funcionan los botones de aumento y disminución para fluidez, profundidad y elevación.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Zmienia intensywność przycisków zwiększenia i zmniejszenia dla potencjału wodnego, głębokości i wysokości.	Altera a taxa em que os botões de aumento e redução funcionam para Fluxo, Profundidade e Elevação.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	Changes the rate in which the increase and decrease buttons work for Flow, Depth and Elevation.	
YY_WATER_FEATURES.radius-rate-of-change	Radiusrate der Änderung	Radius Rate of Change	Tasa de cambio del radio	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	Intensywność zmiany promienia	Taxa de variação do raio	Radius Rate of Change	Radius Rate of Change	Radius Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.radius-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für den Radius arbeiten.	Changes the rate in which the increase and decrease buttons work for Radius.	Cambia la velocidad en la que funcionan los botones de aumento y disminución para el radio.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Zmienia intensywność przycisków zwiększenia i zmniejszenia zmieniających promień.	Altera a taxa em que os botões de aumento e redução funcionam para o Raio.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	Changes the rate in which the increase and decrease buttons work for Radius.	
YY_WATER_FEATURES.min-depth-rate-of-change	Mindesttiefe Veränderungsrate	Minimum Depth Rate of Change	Tasa mínima de profundidad	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Intensywność zmiany minimalnej głębokości	Taxa mínima de alteração da profundidade	Minimum Depth Rate of Change	Minimum Depth Rate of Change	Minimum Depth Rate of Change	
YY_WATER_FEATURES_DESCRIPTION.min-depth-rate-of-change	Ändert die Rate, in der die Erhöhungs- und Reduktionsschaltflächen für die Mindesttiefe arbeiten.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Cambia la velocidad en la que los botones de aumento y disminución funcionan para una profundidad mínima.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Zmienia intensywność przycisków zwiększenia i zmniejszenia zmieniających minimalną głębokość.	Altera a taxa na qual os botões de aumento e redução funcionam para a profundidade mínima.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	Changes the rate in which the increase and decrease buttons work for minimum depth.	
SubServices.NAME[WaterTool]	Wasserwerkzeug	Water Tool	Herramienta de agua	Water Tool	Water Tool	Water Tool	Water Tool	Narzędzie wody	Ferramenta de Água	Water Tool	Water Tool	Water Tool	
Assets.SUB_SERVICE_DESCRIPTION[WaterTool]	Mit dem Wasserwerkzeug können Sie Wasserquellen von Ihrer Karte hinzufügen und entfernen.	Water tool allows you to add and remove water sources from your map.	La herramienta de agua te permite añadir y quitar fuentes de agua de tu mapa.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Narzędzie wody pozwala na dodanie i usunięcie źródeł wody na mapie.	A Ferramenta de Água permite que você adicione e remova as fontes de água do seu mapa.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	Water tool allows you to add and remove water sources from your map.	
Assets.NAME[WaterSource Stream]	Fluss - Konstante oder Variable Rate der Wasserquelle	Stream - Constant or Variable Rate Water Source	Corriente - Constante o Variable tasa de fuente de agua	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Strumień — źródło wody o stałym lub zmiennym potencjale wody	Fluxo - Fonte de Água Constante ou Variável	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	Stream - Constant or Variable Rate Water Source	
Assets.DESCRIPTION[WaterSource Stream]	Sendet Wasser je nach Einstellung für diesen Mod. Wenn saisonale Wasserflüsse deaktiviert sind, wird die Durchflussrate konstant sein. Wenn es aktiviert ist variiert die Durchflussrate je nach Saison, Niederschlag und Schneeschmelze je nach Einstellung. Linksklick um innerhalb des spielbaren Bereichs zu platzieren. Anvisieren und Rechtsklick zum Entfernen.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emite agua dependiendo de la configuración de este mod. Con las corrientes estacionales desactivadas, la tasa de flujo será constante. Con corrientes estacionales activada, la velocidad de flujo variará según la temporada, precipitación y muelle de nieve dependiendo de sus ajustes. Clic izquierdo para colocarlo dentro del área jugable. Desplácese y haga clic derecho para eliminar.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emituje wodę w zależności od ustawień moda. Z wyłączonymi strumieniami sezonowymi, potencjał przepływu wody będzie stały. Z włączonymi strumieniami sezonowymi, potencjał przepływu wody będzie się różnić w zależności od pory roku, opadów, topnienia śniegu i ustawień. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.	Emite água dependendo das configurações do mod. Com os fluxos sazonais desativados, a taxa de fluxo será constante. Sendo ativado, a taxa de fluxo variará com a Estação, chuvas e o degelo, dependendo de suas configurações. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse sobre e clique com o botão direito para remover.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	Emits water depending on the settings for this mod. With Seasonal Streams disabled, the flow rate will be constant. With Seasonal Streams enabled the flow rate will vary with season, precipitation, and snowmelt depending on your settings. Left click to place within playable area. Hover over and right click to remove.	
Assets.NAME[WaterSource River]	Fluss - Grenzfluss Wasserquelle	River - Border River Water Source	Fuente de agua del río - Frontera	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	Rzeka — przygraniczne źródło wody	Rio - Fonte de Água Fluvial	River - Border River Water Source	River - Border River Water Source	River - Border River Water Source	
Assets.DESCRIPTION[WaterSource River]	Hat einen konstanten Pegel und steuert den Wasserfluss in oder aus der Grenze. Wenn Sie sich in der Nähe der Grenze befinden, rastet die Quelle an der Grenze ein. Rechtsklick, um die Zielhöhe festzulegen. Linksklick zum Platzieren. Mit Rechtsklick über der Quelle entfernen.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Tiene un nivel constante y controla el agua que fluye dentro o fuera de la frontera. Clic derecho para designar la elevación objetivo. Clic izquierdo para colocar. Mueve y haz clic derecho para eliminar.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Ma stały poziom wody i kontroluje wodę płynącą do lub z granicy. Gdy znajduje się w pobliżu granicy, źródło będzie przylegać do granicy. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić. Usuń, klikając prawym przyciskiem myszy nad źródłem.	Tem um nível constante e controla água fluindo dentro ou fora da fronteira. Enquanto perto da fronteira, a fonte vai se ajustar à fronteira. Clique direito para designar a elevação alvo. Clique com o botão esquerdo para colocar. Passe o mouse por cima e clique com o botão direito para remover.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	Has a constant level and controls water flowing into or out of the border. While near the border, the source will snap to the border. Right click to designate the target elevation. Left click to place. Hover over and right click to remove.	
Assets.NAME[WaterSource Sea]	Meer - Grenzwasserquelle	Sea - Border Sea Water Source	Mar - Fuente de agua de mar fronterizo	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Morze — przygraniczne źródło wody	Mar - Fonte de Água Marinha	Sea - Border Sea Water Source	Sea - Border Sea Water Source	Sea - Border Sea Water Source	
Assets.DESCRIPTION[WaterSource Sea]	Steuert das Wasser, das in die Grenze hinein- oder aus ihr herausfließt, und das niedrigste Meer kontrolliert den Meeresspiegel. Wenn Wellen und Gezeiten deaktiviert sind, bleibt der Pegel konstant. Wenn Wellen und Gezeiten aktiviert sind, steigt und fällt der Meeresspiegel unter den ursprünglichen Meeresspiegel. Rechtsklick, um die Höhe festzulegen. Linksklick, wenn der Radius eine Grenze berührt. Mit Rechtsklick über der Quelle entfernen.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controla el agua que fluye dentro o fuera de la frontera y el mar más bajo controla el nivel del mar. Con olas y mareas desactivadas, mantendrá el nivel constante. Con olas y mareas permitieron que el nivel del mar suba y cae por debajo del nivel del mar original. Haga clic derecho para designar la elevación. Clic izquierdo para colocar si el radio toca una frontera. Vuelve y haz clic derecho para eliminar.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Kontroluje wodę wpływającą i wypływającą z granicy, a najniższe morze kontroluje poziom morza. Gdy fale i pływy są wyłączone, utrzymuje stały poziom wody. Gdy fale i pływy są włączone, poziom wody podnosi się i opada poniżej oryginalnego poziomu morza. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić, jeśli promień dotyka granicy mapy. Usuń, klikając prawym przyciskiem myszy nad źródłem.	Controla a água fluindo dentro ou fora da borda e controla áreas mais baixas do nível do mar. Com as Ondas e Máres desativadas, eles vão manter um nível constante. Com ele ativo, o nível do mar sobe e desce abaixo do nível original do mar. Clique com o botão direito para marcar a elevação. Clique com o botão esquerdo para colocar se o raio toca uma das bordas. Passe o mouse sobre e clique com o direito para remover.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	Controls water flowing into or out of the border and the lowest sea controls sea level. With Waves and Tides disabled, it will maintain constant level. With Waves and Tides enabled the sea level rises and falls below the original sea level. Right click to designate the elevation. Left click to place if the radius touches a border. Hover over and right click to remove.	
Assets.NAME[WaterSource Lake]	See - Konstante Wasserquelle	Lake - Constant Level Water Source	Lago - Fuente de agua de nivel constante	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Jezioro — źródło wody o stałym poziomie	Lago - Fonte de Água de Nível Constante	Lake - Constant Level Water Source	Lake - Constant Level Water Source	Lake - Constant Level Water Source	
Assets.DESCRIPTION[WaterSource Lake]	Füllt sich schnell bis es das gewünschte Level erreicht und hält dann das Level aufrecht. Wenn es eine Zielhöhe unterhalb der Bodenhöhe hat, kann es Wasser schneller aufsaugen als Verdampfung. Rechtsklick, um die Zielhöhe zu bestimmen. Linksklick um innerhalb des spielbaren Bereichs zu platzieren. Mit Rechtsklick über der Quelle entfernen.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Rellena rápidamente hasta que llegue al nivel deseado y luego mantiene ese nivel. Si tiene una elevación por debajo del nivel del suelo, puede drenar el agua más rápido que la evaporación. Clic derecho para designar la elevación el destino. Clic izquierdo para colocarla dentro del área jugable.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Szybko się napełnia, aż osiągnie pożądaną wysokość, po czym utrzymuje ten poziom. Jeśli docelowa wysokość jest poniżej poziomu gruntu, przyspiesza wchłanianie wody, szybciej niż parowanie. Kliknij prawym przyciskiem myszy, aby wyznaczyć wysokość źródła. Kliknij lewym przyciskiem myszy, aby umieścić w obszarze rozgrywki. Usuń, klikając prawym przyciskiem myszy nad źródłem.	Preenche rapidamente até chegar ao nível desejado e depois mantém esse nível. Se tem uma elevação alvo abaixo do nível do solo, pode drenar a água mais rapidamente do que a evaporação. Clique direito para designar a elevação alvo. Clique com o botão esquerdo para colocar dentro da área jogável. Passe o mouse sobre e clique com o botão direito para remover.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	Fills quickly until it gets to the desired level and then maintains that level. If it has a target elevation below the ground level, it can drain water faster than evaporation. Right click to designate the target elevation. Left click to place within playable area. Hover over and right click to remove.	
Assets.NAME[WaterSource DetentionBasin]	Hochwasserrückhaltebecken	Detention Basin	Cuenca de detención	Detention Basin	Detention Basin	Detention Basin	Detention Basin	Polder przeciwpowodziowy	Bacia de Retenção	Detention Basin	Detention Basin	Detention Basin	
